protein,chain,group,group1,group1,group1,group1,group1,group1,group_old,group3,group1,group6,group4,,protein2,#amino acids,#keys,#keys_with_freq,,percent_threshold,percent_threshold1,percent_threshold1,percent_threshold1,percent_threshold1,percent_threshold1,percent_threshold1,percent_threshold1,percent_threshold1,percent_threshold1,percent_threshold1
5AYG,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1053,5AYG,217,563839,1679580,,100,95,90,85,80,75,70,65,60,55,50
5C4O,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1073,5C4O,241,622485,2303960,,100,95,90,85,80,75,70,65,60,55,50
5C4S,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1074,5C4S,241,623742,2303960,,100,95,90,85,80,75,70,65,60,55,50
5C4T,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1075,5C4T,241,623990,2303960,,100,95,90,85,80,75,70,65,60,55,50
5C4U,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1076,5C4U,241,622324,2303960,,100,95,90,85,80,75,70,65,60,55,50
5EJV,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1143,5EJV,245,663433,2421090,,100,95,90,85,80,75,70,65,60,55,50
5ETH,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1145,5ETH,218,548731,1703016,,100,95,90,85,80,75,70,65,60,55,50
5G42,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1161,5G42,252,681806,2635500,,100,95,90,85,80,75,70,65,60,55,50
5G43,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1162,5G43,252,681678,2635500,,100,95,90,85,80,75,70,65,60,55,50
5G44,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1163,5G44,245,652019,2421090,,100,95,90,85,80,75,70,65,60,55,50
5G45,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1164,5G45,244,650378,2391444,,100,95,90,85,80,75,70,65,60,55,50
5G46,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1165,5G46,246,658504,2450980,,100,95,90,85,80,75,70,65,60,55,50
5IXK,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1186,5IXK,219,550317,1726669,,100,95,90,85,80,75,70,65,60,55,50
5IZ0,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1187,5IZ0,244,652489,2391444,,100,95,90,85,80,75,70,65,60,55,50
5K38,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1196,5K38,227,592488,1923825,,100,95,90,85,80,75,70,65,60,55,50
5K3L,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1197,5K3L,225,579687,1873200,,100,95,90,85,80,75,70,65,60,55,50
5K3M,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1198,5K3M,222,575282,1798940,,100,95,90,85,80,75,70,65,60,55,50
5K3N,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1199,5K3N,228,592572,1949476,,100,95,90,85,80,75,70,65,60,55,50
5K6E,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1200,5K6E,226,587111,1898400,,100,95,90,85,80,75,70,65,60,55,50
5K74,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1201,5K74,227,592025,1923825,,100,95,90,85,80,75,70,65,60,55,50
5LWP,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1227,5LWP,244,657240,2391444,,100,95,90,85,80,75,70,65,60,55,50
5M96,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1231,5M96,225,576416,1873200,,100,95,90,85,80,75,70,65,60,55,50
5NI5,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1247,5NI5,250,673912,2573000,,100,95,90,85,80,75,70,65,60,55,50
5NI7,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1248,5NI7,252,680127,2635500,,100,95,90,85,80,75,70,65,60,55,50
5NI8,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1249,5NI8,252,679993,2635500,,100,95,90,85,80,75,70,65,60,55,50
5NIB,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1250,5NIB,252,680989,2635500,,100,95,90,85,80,75,70,65,60,55,50
5NTI,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1258,5NTI,245,653535,2421090,,100,95,90,85,80,75,70,65,60,55,50
5NTK,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1259,5NTK,225,566919,1873200,,100,95,90,85,80,75,70,65,60,55,50
5NTN,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1260,5NTN,245,654120,2421090,,100,95,90,85,80,75,70,65,60,55,50
5NTP,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1261,5NTP,230,611242,2001460,,100,95,90,85,80,75,70,65,60,55,50
5NTQ,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1262,5NTQ,234,603868,2108184,,100,95,90,85,80,75,70,65,60,55,50
5NTW,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1263,5NTW,245,655118,2421090,,100,95,90,85,80,75,70,65,60,55,50
5NU1,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1264,5NU1,245,656747,2421090,,100,95,90,85,80,75,70,65,60,55,50
5UFO,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1396,5UFO,225,579206,1873200,,100,95,90,85,80,75,70,65,60,55,50
5UFR,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1397,5UFR,223,573832,1823471,,100,95,90,85,80,75,70,65,60,55,50
5UHI,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1402,5UHI,223,575079,1823471,,100,95,90,85,80,75,70,65,60,55,50
5VB3,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1408,5VB3,259,682379,2862209,,100,95,90,85,80,75,70,65,60,55,50
5VB5,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1409,5VB5,259,682534,2862209,,100,95,90,85,80,75,70,65,60,55,50
5VB6,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1410,5VB6,259,683228,2862209,,100,95,90,85,80,75,70,65,60,55,50
5VB7,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1411,5VB7,259,684198,2862209,,100,95,90,85,80,75,70,65,60,55,50
5VQK,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1413,5VQK,256,676456,2763520,,100,95,90,85,80,75,70,65,60,55,50
5VQL,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1414,5VQL,259,686007,2862209,,100,95,90,85,80,75,70,65,60,55,50
5W4R,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1422,5W4R,214,548431,1610564,,100,95,90,85,80,75,70,65,60,55,50
5W4V,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1423,5W4V,209,528520,1499784,,100,95,90,85,80,75,70,65,60,55,50
5X8Q,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1433,5X8Q,228,602373,1949476,,100,95,90,85,80,75,70,65,60,55,50
5YP5,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1455,5YP5,243,648064,2362041,,100,95,90,85,80,75,70,65,60,55,50
5YP6,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1456,5YP6,243,647572,2362041,,100,95,90,85,80,75,70,65,60,55,50
5ZA1,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1465,5ZA1,230,595184,2001460,,100,95,90,85,80,75,70,65,60,55,50
6A22,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1472,6A22,231,626093,2027795,,100,95,90,85,80,75,70,65,60,55,50
6B30,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1479,6B30,215,551659,1633355,,100,95,90,85,80,75,70,65,60,55,50
6B31,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1480,6B31,228,591789,1949476,,100,95,90,85,80,75,70,65,60,55,50
6B33,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1481,6B33,218,557562,1703016,,100,95,90,85,80,75,70,65,60,55,50
6BN6,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1482,6BN6,228,592356,1949476,,100,95,90,85,80,75,70,65,60,55,50
6BR2,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1483,6BR2,215,552636,1633355,,100,95,90,85,80,75,70,65,60,55,50
6BR3,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1484,6BR3,216,555311,1656360,,100,95,90,85,80,75,70,65,60,55,50
6CN5,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1492,6CN5,231,600889,2027795,,100,95,90,85,80,75,70,65,60,55,50
6CN6,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1493,6CN6,230,594466,2001460,,100,95,90,85,80,75,70,65,60,55,50
6CVH,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1502,6CVH,227,590752,1923825,,100,95,90,85,80,75,70,65,60,55,50
6ESN,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1513,6ESN,252,680512,2635500,,100,95,90,85,80,75,70,65,60,55,50
6FGQ,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1518,6FGQ,229,599094,1975354,,100,95,90,85,80,75,70,65,60,55,50
6FZU,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1534,6FZU,245,655700,2421090,,100,95,90,85,80,75,70,65,60,55,50
6G05,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1536,6G05,245,653397,2421090,,100,95,90,85,80,75,70,65,60,55,50
6G07,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1537,6G07,245,651588,2421090,,100,95,90,85,80,75,70,65,60,55,50
6IVX,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1549,6IVX,227,598195,1923825,,100,95,90,85,80,75,70,65,60,55,50
6O98,A,ROR_R,ROR,ROR,ROR,ROR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,ROR,Nonsteroid,ROR,1556,6O98,223,571060,1823471,,100,95,90,85,80,75,70,65,60,55,50
1BSX,A,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Thyroid_Receptor,Nonsteroid,Thyroid_Receptor,5,1BSX,243,642861,2362041,,100,95,90,85,80,75,70,65,60,55,50
1N46,A,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Thyroid_Receptor,Nonsteroid,Thyroid_Receptor,46,1N46,248,673656,2511496,,100,95,90,85,80,75,70,65,60,55,50
1NAV,A,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Thyroid_Receptor,Nonsteroid,Thyroid_Receptor,48,1NAV,253,689472,2667126,,100,95,90,85,80,75,70,65,60,55,50
1NAX,A,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Thyroid_Receptor,Nonsteroid,Thyroid_Receptor,49,1NAX,250,690835,2573000,,100,95,90,85,80,75,70,65,60,55,50
1NQ0,A,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Thyroid_Receptor,Nonsteroid,Thyroid_Receptor,52,1NQ0,253,715428,2667126,,100,95,90,85,80,75,70,65,60,55,50
1NQ1,A,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Thyroid_Receptor,Nonsteroid,Thyroid_Receptor,53,1NQ1,253,714437,2667126,,100,95,90,85,80,75,70,65,60,55,50
1NQ2,A,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Thyroid_Receptor,Nonsteroid,Thyroid_Receptor,54,1NQ2,255,718584,2731135,,100,95,90,85,80,75,70,65,60,55,50
1NUO,A,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Thyroid_Receptor,Nonsteroid,Thyroid_Receptor,56,1NUO,247,692613,2481115,,100,95,90,85,80,75,70,65,60,55,50
1Q4X,A,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Thyroid_Receptor,Nonsteroid,Thyroid_Receptor,71,1Q4X,239,631683,2246839,,100,95,90,85,80,75,70,65,60,55,50
1R6G,A,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Thyroid_Receptor,Nonsteroid,Thyroid_Receptor,80,1R6G,239,644815,2246839,,100,95,90,85,80,75,70,65,60,55,50
1XZX,X,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Thyroid_Receptor,Nonsteroid,Thyroid_Receptor,144,1XZX,249,696553,2542124,,100,95,90,85,80,75,70,65,60,55,50
1Y0X,X,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Thyroid_Receptor,Nonsteroid,Thyroid_Receptor,146,1Y0X,250,701358,2573000,,100,95,90,85,80,75,70,65,60,55,50
2H77,A,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Thyroid_Receptor,Nonsteroid,Thyroid_Receptor,219,2H77,251,657570,2604125,,100,95,90,85,80,75,70,65,60,55,50
2H79,A,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Thyroid_Receptor,Nonsteroid,Thyroid_Receptor,220,2H79,262,729704,2963220,,100,95,90,85,80,75,70,65,60,55,50
2J4A,A,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Thyroid_Receptor,Nonsteroid,Thyroid_Receptor,244,2J4A,250,685622,2573000,,100,95,90,85,80,75,70,65,60,55,50
2PIN,A,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Thyroid_Receptor,Nonsteroid,Thyroid_Receptor,279,2PIN,245,655560,2421090,,100,95,90,85,80,75,70,65,60,55,50
3D57,A,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Thyroid_Receptor,Nonsteroid,Thyroid_Receptor,476,3D57,245,656868,2421090,,100,95,90,85,80,75,70,65,60,55,50
3GWS,X,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Thyroid_Receptor,Nonsteroid,Thyroid_Receptor,520,3GWS,243,656974,2362041,,100,95,90,85,80,75,70,65,60,55,50
3HZF,A,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Thyroid_Receptor,Nonsteroid,Thyroid_Receptor,539,3HZF,259,701783,2862209,,100,95,90,85,80,75,70,65,60,55,50
3ILZ,A,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Thyroid_Receptor,Nonsteroid,Thyroid_Receptor,547,3ILZ,263,722927,2997411,,100,95,90,85,80,75,70,65,60,55,50
3IMY,A,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Thyroid_Receptor,Nonsteroid,Thyroid_Receptor,548,3IMY,248,681283,2511496,,100,95,90,85,80,75,70,65,60,55,50
3JZB,A,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Thyroid_Receptor,Nonsteroid,Thyroid_Receptor,551,3JZB,260,716025,2895620,,100,95,90,85,80,75,70,65,60,55,50
3JZC,A,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Thyroid_Receptor,Nonsteroid,Thyroid_Receptor,552,3JZC,244,655639,2391444,,100,95,90,85,80,75,70,65,60,55,50
4LNW,A,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Thyroid_Receptor,Nonsteroid,Thyroid_Receptor,895,4LNW,259,707800,2862209,,100,95,90,85,80,75,70,65,60,55,50
4LNX,A,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Thyroid_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Thyroid_Receptor,Nonsteroid,Thyroid_Receptor,896,4LNX,259,708097,2862209,,100,95,90,85,80,75,70,65,60,55,50
1DB1,A,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Vitamin_D3_Receptor,Nonsteroid,Vitamin_D3_Receptor,6,1DB1,250,678640,2573000,,100,95,90,85,80,75,70,65,60,55,50
1IE8,A,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Vitamin_D3_Receptor,Nonsteroid,Vitamin_D3_Receptor,31,1IE8,250,674637,2573000,,100,95,90,85,80,75,70,65,60,55,50
1IE9,A,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Vitamin_D3_Receptor,Nonsteroid,Vitamin_D3_Receptor,32,1IE9,255,696534,2731135,,100,95,90,85,80,75,70,65,60,55,50
1RJK,A,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Vitamin_D3_Receptor,Nonsteroid,Vitamin_D3_Receptor,81,1RJK,239,601914,2246839,,100,95,90,85,80,75,70,65,60,55,50
1RK3,A,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Vitamin_D3_Receptor,Nonsteroid,Vitamin_D3_Receptor,82,1RK3,239,605940,2246839,,100,95,90,85,80,75,70,65,60,55,50
1RKG,A,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Vitamin_D3_Receptor,Nonsteroid,Vitamin_D3_Receptor,83,1RKG,241,609337,2303960,,100,95,90,85,80,75,70,65,60,55,50
1RKH,A,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Vitamin_D3_Receptor,Nonsteroid,Vitamin_D3_Receptor,84,1RKH,242,615867,2332880,,100,95,90,85,80,75,70,65,60,55,50
1S0Z,A,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Vitamin_D3_Receptor,Nonsteroid,Vitamin_D3_Receptor,85,1S0Z,253,688686,2667126,,100,95,90,85,80,75,70,65,60,55,50
